2024/2025 Semester 1 Final Teaching Timetable,,,,,
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
1700-1750,EEEN 414 LECTURE,CTEN 512 LECTURE,CTEN 511/MINS 511 LECTURE,"GEME 414 LECTURE PHYS,PA CHEM,PA MATHS,STAT.EARTH,BIOL",CHEM 405 LECTURE
1800-1850,,,,,
1900-1950,,,,,
BIUST - 122/001-002,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,ALSS 301 TUTORIAL GROUP 3,COMP 441 LECTURE,COMP 302 LECTURE,MINS 311 LECTURE,CIVE 416 LECTURE
0900-0950,"GEME 411 LECTURE CHEM ENG,CIVIL,COMP&T,MECHANICAL",COMP 441 LECTURE,COMP 302 LECTURE,MINS 311 LECTURE,CIVE 416 LECTURE
1000-1050,"GEME 411 LECTURE CHEM ENG,CIVIL,COMP&T,MECHANICAL",BIOL 405 LECTURE,GLEN 222 LAB,CHEE 510 LECTURE,GEME 630 TUTORIAL
1100-1150,CHEE 515 Tutorial,BIOL 405 LECTURE,GLEN 222 LAB,ENER 411 TUTORIAL,ENVS 403 LECTURE
1200-1250,MINE 514 TUTORIAL,EMTH 201 TUTORIAL GROUP J,MECE 312 LECTURE,MATH 101 TUT BIOLOGY,ENVS 403 LECTURE
1300-1350,CHEM 309 LECTURE,CHEE 411 Tutorial,MECE 312 LECTURE,BIOL 101 TUTORIAL COMPUTER SC,
1400-1450,CHEM 309 LECTURE,CHEM 407 LECTURE,MINE 411 TUTORIAL,MATH 101 TUT EARTH & ENVIRONMENTAL,PHYS 305 TUT
1500-1550,CHEM 302 Lecture,ENVS 6101 LECTURE,STAT 301 LECTURE,GEME 201 TUTORIAL,PHYS 305 TUT
1600-1650,INFS 312 LECTURE,"GEME 313 LECTURE CIVIL,BIOL,COMP SC,ENV SC,FORE",GLEN 417 LECTURE,INFS 361 LECTURE,MCTE 511 LECTURE
1700-1750,INFS 312 LECTURE,"GEME 313 LECTURE CIVIL,BIOL,COMP SC,ENV SC,FORE",GLEN 417 LECTURE,INFS 361 LECTURE,MCTE 511 LECTURE
1800-1850,,,,,
1900-1950,,,,,
BIUST - 122/003-004,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,EEEN 412 LECTURE,CHEM 303 LECTURE,INME 411 LECTURE,MINE 514 LECTURE,MINS 411 LECTURE
0900-0950,EEEN 412 LECTURE,FRSC 301 LECTURE,INME 411 LECTURE,MINE 514 LECTURE,MINS 411 LECTURE
1000-1050,CHEE 210 LECTURE,ENVS 301 LECTURE,GEME 416 TUTORIAL,GEOL 405 LECTURE,EEEN 511 LECTURE
1100-1150,CHEE 210 LECTURE,ENVS 301 LECTURE,STAT 601 LECTURE,GEOL 405 LECTURE,EEEN 511 LECTURE
1200-1250,STAT 301 LECTURE,ALSS 201 Tutorial Group A,ALSS 101 Lecture Group J,CHEE 414 Tutorial,GEOL 307 LECTURE
1300-1350,MATH 202 TUTORIAL STAT & MATHS,FRSC 401 LECTURE,CIVE 311 LECTURE,ENVS 303 TUTORIAL,GEOL 307 LECTURE
1400-1450,CTEN 512 TUTORIAL,CIVE 411 TUTORIAL,CIVE 311 LECTURE,MATH 302 Lecture,GEME 630 LECTURE
1500-1550,MATH 622 Lecture,STAT 301 LECTURE,PHYS 404 LECTURE,,GEME 630 LECTURE
1600-1650,BIOL 101 TUTORIAL FORENSIC,EEEN 512/ENER 415 LECTURE,ENVS 6102 Lecture,CHEM 306 LECTURE,BIOL 101 TUTORIAL BIOLOGY
1700-1750,CHEM 307 LECTURE,EEEN 512/ENER 415 LECTURE,MATH 101 TUT ENVIRONMENTAL SC,CHEM 306 LECTURE,EEEN 414 TUTORIAL
1800-1850,,,,,
1900-1950,,,,,
BIUST - 122/005-006,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MMEE 210 TUT CHEMICAL,STAT 601 LECTURE,BIOL 204 LECTURE,"GEME 414 LECTURE COMP SC,ENV SC,FORE,GEOL,INFO",CHEE 512 LECTURE
0900-0950,MMEE 210 TUT MATERIALS,,BIOL 204 LECTURE,"GEME 414 LECTURE COMP SC,ENV SC,FORE,GEOL,INFO",CHEE 512 LECTURE
1000-1050,"GEME 411 TUTORIAL ELECTRICAL,GEOLOGICAL,MECHATRONICS",MINE 415 TUTORIAL,CHEM 407 LECTURE,CHEE 413 LECTURE,MATH 202 LECTURE
1100-1150,ALSS 201 Lecture Group K,MMEE 413 LECTURE,BIOL 304 LECTURE,CHEE 413 LECTURE,STAT 414 TUT
1200-1250,ENVS 401 LECTURE,MMEE 413 LECTURE,BIOL 304 LECTURE,INFS 441 LAB,MMEE 515 LECTURE
1300-1350,ENVS 401 LECTURE,CHEM 203 LECTURE,ALSS 101 Lecture Group K,CHCL 106 LECTURE,CHEE 415 Tutorial
1400-1450,ALSS 201 Tutorial Group I,CHEM 203 LECTURE,TELE 511 LECTURE,CHCL 106 LECTURE,EMTH 201 TUTORIAL GROUP H
1500-1550,STAT 621 LECTURE,GLEN 514 TUTORIAL,TELE 511 LECTURE,MATH 101 TUT COMP & TELE,MATH 101 TUT INFORMATION SYS
1600-1650,STAT 621 LECTURE,CHEE 312 Tutorial,CIVE 312 TUTORIAL,EEEN 519 LECTURE,ALSS 101 Tutorial Group I
1700-1750,CHEE 517 Tutorial,CHEM 101 TUTORIAL GROUP H,ENER 511 Lecture,EEEN 519 LECTURE,CHEE 510 TUTORIAL
1800-1850,,,,,
1900-1950,,,,,
BIUST - 124/001-002,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,CHEM 203 TUTORIAL BIOLOGY,ALSS 101 Tutorial Group H,MECE 313 LECTURE,ALSS 201 Lecture Group H,MINE 512 LECTURE
0900-0950,CIVE 315 TUTORIAL,,MECE 313 LECTURE,MATH 201 LECTURE,MINE 512 LECTURE
1000-1050,CHEM 403 Lecture,"GEME 411 TUTORIAL CHEM ENG,CIVIL,COMP&T,MECHANICAL",MEIE 510 LECTURE,CIVE 412 TUTORIAL,
1100-1150,ENVS 303 TUTORIAL,MATH 409 Lecture,MEIE 510 LECTURE,GEOL 613 LECTURE,MECE 412 LECTURE
1200-1250,EEEN 512/ENER 415 TUTORIAL,ENVS 405 LECTURE,MEIE 510 LECTURE,PHYS 201 LECTURE,MECE 412 LECTURE
1300-1350,FRSC 401 LECTURE,ENVS 405 LECTURE,MATH 101 TUT ELECTRICAL,PHYS 201 LECTURE,ALSS 201 Lecture Group B
1400-1450,CMME 511 Tutorial,MINE 515 LECTURE,PHYS 305 LECTURE,CHEM 101 TUTORIAL GROUP B,GEME 201 LECTURE
1500-1550,CHEE 517 LECTURE,MINE 515 LECTURE,PHYS 305 LECTURE,CHEM 405 LECTURE,GEME 201 LECTURE
1600-1650,CHEE 517 LECTURE,STAT 202 Lecture,STAT 202 LECTURE,ALSS 301 LECTURE GROUP 1,CHEM 407 LECTURE
1700-1750,CIVE 314 TUTORIAL,GEOL 401 LECTURE,STAT 202 LECTURE,ENVS 201 TUTORIAL,ALSS 301 LECTURE GROUP 2
1800-1850,,,,,
1900-1950,,,,,
BIUST - 124/003-004,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,GEOL 201 TUTORIAL ENGINEERING GROUPS,MINE 413 LECTURE,"GEME 411 LECTURE ELECTRICAL,GEOLOGICAL,MECHATRONICS",CHEM 203 TUTORIAL FORENSIC,STAT 309 LECTURE
0900-0950,CHEM 306 Lecture,MINE 413 LECTURE,"GEME 411 LECTURE ELECTRICAL,GEOLOGICAL,MECHATRONICS",GEOL 611 LECTURE,MATH 614 LECTURE
1000-1050,MECE 312 Tutorial MECHANICAL,PHYS 202 Lecture,EEEN 411 LECTURE,GEOL 615 Lecture,MATH 614 LECTURE
1100-1150,MINS 411 TUTORIAL,INME 412 LECTURE,EEEN 411 LECTURE,ENVS 6103 LECTURE,CPEN 522 LECTURE
1200-1250,CHCL 105 LECTURE,INME 412 LECTURE,COMP 451 LECTURE,ENVS 6103 LECTURE,CPEN 522 LECTURE
1300-1350,CHCL 105 LECTURE,BIOL 402 LECTURE,COMP 451 LECTURE,GLEN 416 Tutorial,COMP 412 LECTURE
1400-1450,GLEN 417 TUTORIAL,BIOL 402 LECTURE,MINE 514 TUTORIAL,GLEN 416 Tutorial,COMP 412 LECTURE
